timestamp,gsr,ecg,interval
1776458734080,670,-32,0
1776458734080,670,-4,0
1776458734081,670,7,0
1776458734081,670,-29,0
1776458734082,670,-64,0
1776458734082,670,-61,0
1776458734083,670,-56,0
1776458734084,670,-56,0
1776458734084,670,-64,0
1776458734085,670,-118,0
1776458734085,670,-56,0
1776458734085,670,282,0
1776458734086,670,364,0
1776458734086,670,-89,0
1776458734087,670,-314,0
1776458734087,670,-99,0
1776458734088,670,-4,0
1776458734098,670,-64,0
1776458734099,670,-69,0
1776458734100,670,-61,0
1776458734100,670,-64,0
1776458734101,670,-59,0
1776458734102,670,-61,0
1776458734102,670,-64,0
1776458734103,670,-61,0
1776458734104,670,-59,0
1776458734104,670,-39,0
1776458734105,670,-29,0
1776458734106,670,-39,0
1776458734106,670,-29,0
1776458734107,670,-9,0
1776458734107,670,-14,0
1776458734108,670,0,0
1776458734109,670,47,0
1776458734109,670,81,0
1776458734110,670,99,0
1776458734110,670,123,0
1776458734111,670,141,0
1776458734112,670,128,0
1776458734112,670,104,0
1776458734113,670,79,0
1776458734113,670,49,0
1776458734114,670,-9,0
1776458734115,670,-76,0
1776458734115,670,-126,0
1776458734116,670,-156,0
1776458734117,670,-170,0
1776458734432,669,-170,0
1776458734433,672,-170,0
1776458734433,670,-170,0
1776458734434,669,-170,0
1776458734434,671,-170,0
1776458734434,670,-170,0
1776458734435,669,-170,0
1776458734435,670,-170,0
1776458734436,669,-170,0
1776458734437,669,-170,0
1776458734605,669,-175,0
1776458734606,669,-180,0
1776458734606,669,-185,0
1776458734607,669,-188,0
1776458734607,669,-190,0
1776458734608,669,-185,0
1776458734608,669,-168,0
1776458734609,669,-153,0
1776458734609,669,-163,0
1776458734609,669,-168,0
1776458734610,669,-143,0
1776458734612,669,-128,0
1776458734613,669,-138,0
1776458734614,669,-138,0
1776458734614,669,-123,0
1776458734615,669,-109,0
1776458734615,669,-106,0
1776458734616,669,-113,0
1776458734616,669,-113,0
1776458734617,669,-111,0
1776458734617,669,-113,0
1776458734618,669,-109,0
1776458734618,669,-104,0
1776458734619,669,-109,0
1776458734619,669,-118,0
1776458734620,669,-116,0
1776458734620,669,-99,0
1776458734621,669,-96,0
1776458734621,669,-121,0
1776458734622,669,-131,0
1776458734622,669,-123,0
1776458734623,669,-133,0
1776458734623,669,-143,0
1776458734624,669,-128,0
1776458734625,669,-109,0
1776458734625,669,-104,0
1776458734626,669,-86,0
1776458734627,669,-59,0
1776458734627,669,-54,0
1776458734628,669,-64,0
1776458734629,669,-76,0
1776458734629,669,-96,0
1776458734630,669,-106,0
1776458734632,669,-104,0
1776458734633,669,-109,0
1776458734634,669,-148,0
1776458734634,669,-218,0
1776458734635,669,-156,0
1776458734636,669,218,0
1776458734636,669,465,0
1776458734637,669,121,0
1776458734637,669,-210,0
1776458734638,669,-94,0
1776458734638,669,-34,0
1776458734639,669,-153,0
1776458734639,669,-175,0
1776458734640,669,-153,0
1776458734641,669,-170,0
1776458734641,669,-170,0
1776458734642,669,-153,0
1776458734642,669,-153,0
1776458734643,669,-151,0
1776458734643,669,-141,0
1776458734644,669,-138,0
1776458734644,669,-138,0
1776458734645,669,-123,0
1776458734645,669,-111,0
1776458734646,669,-116,0
1776458734647,669,-113,0
1776458734647,669,-94,0
1776458734648,669,-79,0
1776458734648,669,-66,0
1776458734649,669,-39,0
1776458735145,669,-19,0
1776458735146,669,-9,0
1776458735146,669,-4,0
1776458735147,669,-9,0
1776458735148,669,-32,0
1776458735148,669,-64,0
1776458735149,669,-84,0
